TRANSACTIONID|PRODUCTCODE|STARTSERIAL|ENDSERIAL|ADDL1|ADDL2|ADDL3|ADDL4|COUNTER
19010395440001|75362|893800399264822237|893800399264822237|||||1
1907290033330001|75688|866583044125183|866583044125183|||||1
1907326133330001|75792|351732100179368|351732100179368|||||1
1907324533330001|75362|893800399262210350|893800399262210350|||||1
1907324533330002|75362|893800399262213242|893800399262213242|||||1
1907324533330003|75362|893800399262213978|893800399262213978|||||1
1907324533330004|75362|893800399262213979|893800399262213979|||||1
1907324533330005|75362|893800399262636950|893800399262636950|||||1
1907324533330006|75362|893800399262779436|893800399262779436|||||1
1907324533330007|75362|893800399262852131|893800399262852131|||||1
1907324533330008|75362|893800399264971550|893800399264971550|||||1
1907324533330009|75362|893800399264971666|893800399264971666|||||1
1907324533330010|75362|893800399264971667|893800399264971667|||||1
1907324533330011|75770|893800399262047014|893800399262047014|||||1
1907324533330012|75770|893800399262047015|893800399262047015|||||1
1907324533330013|75770|893800399264309293|893800399264309293|||||1
1907324533330014|75770|893800399264309295|893800399264309295|||||1
1907324533330015|75770|893800399264311974|893800399264311974|||||1
1907324533330016|75770|893800399264311975|893800399264311975|||||1
1907324533330017|75770|893800399264312605|893800399264312605|||||1
1907324533330018|75770|893800399264312606|893800399264312606|||||1
1907324533330019|75770|893800399264325256|893800399264325256|||||1
1907324533330020|75770|893800399264325262|893800399264325262|||||1
1907324533330021|75770|893800399264325269|893800399264325269|||||1
1907324533330022|75770|893800399264325832|893800399264325832|||||1
1907324533330023|75770|893800399264343660|893800399264343660|||||1
1907324533330024|75770|893800399265028661|893800399265028661|||||1
1907324533330025|75770|893800399265028832|893800399265028832|||||1
1907324533330026|75770|893800399265068131|893800399265068131|||||1
906034380001|11637|232087032236|232087032236|||||1
906034380002|11638|232152053451|232152053451|||||1
906037720001|75770|893800399264293014|893800399264293014|||||1
906045510001|74634|893800399254428580|893800399254428580|||||1
906051610001|74634|893800399254438613|893800399254438613|||||1
906062010001|75362|893800399264963356|893800399264963356|||||1
906062930001|11637|232038099702|232038099702|||||1
906063430001|11637|232040009111|232040009111|||||1
906075580002|11638|232152050956|232152050956|||||1
906077720002|11637|232040031242|232040031242|||||1
906084620001|75158|893800399252735683|893800399252735683|||||1
906077720008|11638|232152053453|232152053453|||||1
906084300001|11638|232152050956|232152050956|||||1
906084820001|75362|893800399264822237|893800399264822237|||||1
906086930001|11637|231981045701|231981045701|||||1
906086930002|11637|231981045702|231981045702|||||1
906086930003|11637|231981045703|231981045703|||||1
906087030001|75362|893800399264964318|893800399264964318|||||1
906088020001|11637|232038089787|232038089787|||||1
906089110001|11637|231957072381|231957072381|||||1
906089110002|11637|231957072382|231957072382|||||1
906089700001|11637|231965011657|231965011657|||||1
906095340001|75362|893800399264822003|893800399264822003|||||1
906093900001|74798|893800399253642660|893800399253642660|||||1
906094460001|11637|231965011657|231965011657|||||1
906094970001|11637|232040009601|232040009601|||||1
906096940001|75362|893800399262105409|893800399262105409|||||1
906097670001|11637|232040009601|232040009601|||||1
906097780001|75364|893800399266241256|893800399266241256|||||1
906098830001|11637|232040031153|232040031153|||||1
906115340001|75770|893800399264314286|893800399264314286|||||1
906108350001|75362|893800399264961367|893800399264961367|||||1
906108410001|75362|893800399262212351|893800399262212351|||||1
906108550002|75362|893800399262635477|893800399262635477|||||1
906117240002|75770|893800399265044513|893800399265044513|||||1
906089400001|11638|232151062121|232151062121|||||1
906089400002|11638|232151062121|232151062121|||||1
906090710002|11637|232040004790|232040004790|||||1
906090710003|11637|232040004790|232040004790|||||1
906090710004|11637|232040004790|232040004790|||||1
906090710005|11637|232040004790|232040004790|||||1
906059150001|75770|893800399264294403|893800399264294403|||||1
906062930002|11638|232151062121|232151062121|||||1
906059370001|74634|893800399254437391|893800399254437391|||||1
906085440001|75362|893800399264820535|893800399264820535|||||1
906085970001|11637|232044038160|232044038160|||||1
906086200001|11637|232040009601|232040009601|||||1
906090710006|11637|232040004790|232040004790|||||1
906090710007|11637|232040004790|232040004790|||||1
906090710008|11637|232040004790|232040004790|||||1
906090710009|11637|232040004790|232040004790|||||1
906090710010|11637|232040004790|232040004790|||||1
